Month;Perc;Delt;Prof Fix;Prof Dif;Green;Red
08-2017;0;0;103.3%;178.0%;85%;15%
09-2017;0;0;160.6%;378.4%;82%;18%
10-2017;0;0;121.2%;230.8%;74%;26%
11-2017;0;0;96.6%;156.2%;81%;19%
12-2017;0;0;110.6%;188.8%;85%;15%
01-2018;0;0;94.7%;153.0%;96%;4%
02-2018;0;0;65.1%;88.9%;95%;5%
03-2018;0;0;53.7%;69.5%;93%;7%
04-2018;0;0;64.0%;87.6%;75%;25%
05-2018;0;0;36.3%;42.4%;70%;30%
06-2018;0;0;23.4%;25.9%;88%;12%
07-2018;0;0;50.4%;63.9%;56%;44%
08-2018;0;0;29.5%;33.6%;81%;19%
09-2018;0;0;26.4%;29.5%;63%;38%
10-2018;0;0;29.7%;33.7%;81%;19%
11-2018;0;0;13.9%;14.2%;84%;16%
12-2018;0;0;65.4%;89.0%;69%;31%
01-2019;0;0;35.3%;41.3%;62%;38%
02-2019;0;0;23.6%;25.9%;64%;36%
03-2019;0;0;19.2%;20.8%;56%;44%
04-2019;0;0;45.0%;55.1%;60%;40%
05-2019;0;0;79.6%;119.6%;70%;30%
06-2019;0;0;31.3%;36.1%;91%;9%
07-2019;0;0;67.2%;93.2%;82%;18%
08-2019;0;0;51.4%;65.5%;63%;37%
09-2019;0;0;39.9%;48.5%;86%;14%
10-2019;0;0;38.0%;45.2%;65%;35%
11-2019;0;0;21.9%;23.6%;62%;38%
12-2019;0;0;42.7%;52.6%;74%;26%
01-2020;0;0;47.3%;59.6%;68%;32%
02-2020;0;0;40.4%;49.3%;71%;29%
03-2020;0;0;58.3%;75.5%;91%;9%
04-2020;0;0;72.1%;103.7%;72%;28%
05-2020;0;0;72.3%;104.5%;76%;24%
06-2020;0;0;43.6%;54.1%;85%;15%
07-2020;0;0;28.0%;32.0%;61%;39%
08-2020;0;0;44.0%;55.0%;87%;13%
09-2020;0;0;49.7%;64.0%;89%;11%
10-2020;0;0;41.1%;50.4%;77%;23%
11-2020;0;0;62.0%;84.1%;71%;29%
12-2020;0;0;68.6%;96.8%;71%;29%
01-2021;0;0;109.4%;194.5%;94%;6%
02-2021;0;0;77.3%;111.4%;71%;29%
03-2021;0;0;58.3%;78.0%;93%;7%
04-2021;0;0;56.1%;73.9%;72%;28%
05-2021;0;0;73.5%;105.5%;90%;10%
06-2021;0;0;86.6%;133.8%;78%;22%
07-2021;0;0;68.1%;96.2%;81%;19%
08-2021;0;0;68.9%;97.5%;70%;30%
09-2021;0;0;61.0%;82.9%;83%;17%
10-2021;0;0;60.2%;80.6%;62%;38%
11-2021;0;0;41.8%;51.2%;86%;14%
12-2021;0;0;38.5%;45.9%;73%;27%
01-2022;0;0;50.6%;65.5%;93%;7%
02-2022;0;0;49.1%;63.1%;90%;10%
03-2022;0;0;54.2%;71.4%;90%;10%
04-2022;0;0;40.0%;48.8%;89%;11%
05-2022;0;0;46.8%;58.7%;84%;16%
06-2022;0;0;54.0%;70.7%;87%;13%
07-2022;0;0;66.5%;92.2%;64%;36%
08-2022;0;0;36.3%;43.4%;92%;8%
09-2022;0;0;39.1%;46.7%;68%;32%
