Month;Profit;Perc;Succ;Loss;Ttl
2021-03;0.0%;0.00290;0;0;743
2021-04;0.0%;0.00290;0;0;715
2021-05;0.0%;0.00290;0;0;744
2021-06;0.0%;0.00290;0;0;720
2021-07;0.0%;0.00290;0;0;744
2021-08;0.0%;0.00290;0;0;740
2021-09;0.0%;0.00290;0;0;718
2021-10;0.0%;0.00290;0;0;744
2021-11;0.0%;0.00290;0;0;720
2021-12;0.0%;0.00290;0;0;744
2022-01;0.0%;0.00290;0;0;744
2022-02;0.0%;0.00290;0;0;672
2022-03;0.0%;0.00290;0;0;744
2022-04;0.0%;0.00290;0;0;720
2022-05;0.0%;0.00290;0;0;744
2022-06;0.0%;0.00290;0;0;720
2022-07;0.0%;0.00290;0;0;744
2022-08;0.0%;0.00290;0;0;744
2022-09;0.0%;0.00290;0;0;720
2022-10;0.0%;0.00290;0;0;456
