Month;Profit;Perc;Succ;Loss;Ttl
2021-03;57.9%;0.00409;453;290;743
2021-04;45.0%;0.00279;478;237;715
2021-05;21.9%;0.00460;486;258;744
2021-06;34.1%;0.00279;558;162;720
2021-07;30.5%;0.00179;589;155;744
2021-08;61.0%;0.00300;491;249;740
2021-09;29.9%;0.00159;588;130;718
2021-10;28.3%;0.00330;409;335;744
2021-11;11.1%;0.00110;616;104;720
2021-12;7.4%;0.00230;520;224;744
2022-01;11.3%;0.00080;672;72;744
2022-02;20.1%;0.00140;549;123;672
2022-03;16.1%;0.00320;375;369;744
2022-04;11.8%;0.00080;622;98;720
2022-05;6.4%;0.00110;633;111;744
2022-06;12.1%;0.00099;637;83;720
2022-07;32.8%;0.00370;419;325;744
2022-08;11.4%;0.00199;509;235;744
2022-09;13.7%;0.00310;387;333;720
2022-10;7.1%;0.00250;186;270;456
