Month;Profit;Perc;Succ;Loss;Ttl
2021-03;51.8%;0.00290;547;196;743
2021-04;42.2%;0.00290;469;246;715
2021-05;6.5%;0.00290;575;169;744
2021-06;31.5%;0.00290;552;168;720
2021-07;29.0%;0.00290;482;262;744
2021-08;57.0%;0.00290;498;242;740
2021-09;17.3%;0.00290;442;276;718
2021-10;20.6%;0.00290;439;305;744
2021-11;3.8%;0.00290;423;297;720
2021-12;1.0%;0.00290;454;290;744
2022-01;4.6%;0.00290;454;290;744
2022-02;5.6%;0.00290;405;267;672
2022-03;10.7%;0.00290;401;343;744
2022-04;-4.0%;0.00290;342;378;720
2022-05;-4.6%;0.00290;445;299;744
2022-06;0.3%;0.00290;464;256;720
2022-07;15.5%;0.00290;463;281;744
2022-08;0.7%;0.00290;372;372;744
2022-09;10.9%;0.00290;402;318;720
2022-10;5.1%;0.00290;155;301;456
