Month;Profit;Perc;Succ;Loss;Ttl
2021-03;15.6%;0.00220;587;156;743
2021-04;40.6%;0.00370;410;305;715
2021-05;115.2%;0.00480;501;243;744
2021-06;63.1%;0.00320;551;169;720
2021-07;24.7%;0.00130;635;109;744
2021-08;27.1%;0.00139;627;113;740
2021-09;29.2%;0.00090;656;62;718
2021-10;37.7%;0.00169;605;139;744
2021-11;28.3%;0.00300;436;284;720
2021-12;37.0%;0.00490;317;427;744
2022-01;33.7%;0.00319;435;309;744
2022-02;13.8%;0.00130;568;104;672
2022-03;11.8%;0.00060;692;52;744
2022-04;26.5%;0.00870;88;632;720
2022-05;31.3%;0.00299;428;316;744
2022-06;33.7%;0.00999;155;565;720
2022-07;-0.8%;0.00390;392;352;744
2022-08;22.0%;0.00409;279;465;744
2022-09;15.1%;0.00310;388;332;720
2022-10;6.6%;0.00059;397;59;456
