Month;Profit;Perc;Succ;Loss;Ttl
2021-03;76.6%;0.00220;587;156;743
2021-04;97.8%;0.00370;410;305;715
2021-05;209.7%;0.00480;501;243;744
2021-06;156.5%;0.00320;551;169;720
2021-07;85.3%;0.00130;635;109;744
2021-08;85.0%;0.00139;627;113;740
2021-09;56.0%;0.00090;656;62;718
2021-10;167.6%;0.00169;605;139;744
2021-11;55.1%;0.00300;436;284;720
2021-12;55.6%;0.00490;317;427;744
2022-01;51.0%;0.00319;435;309;744
2022-02;46.7%;0.00130;568;104;672
2022-03;32.1%;0.00060;692;52;744
2022-04;34.6%;0.00870;88;632;720
2022-05;47.4%;0.00299;428;316;744
2022-06;17.9%;0.00999;155;565;720
2022-07;17.8%;0.00390;392;352;744
2022-08;29.8%;0.00409;279;465;744
2022-09;30.2%;0.00310;388;332;720
2022-10;12.0%;0.00059;397;59;456
