Month;Profit;Perc;Succ;Loss;Ttl
2021-03;86.8%;0.00409;453;290;743
2021-04;108.0%;0.00279;478;237;715
2021-05;110.7%;0.00460;486;258;744
2021-06;81.4%;0.00279;558;162;720
2021-07;39.8%;0.00179;589;155;744
2021-08;123.8%;0.00300;491;249;740
2021-09;75.3%;0.00159;588;130;718
2021-10;16.6%;0.00790;139;605;744
2021-11;29.7%;0.00110;616;104;720
2021-12;38.8%;0.00230;520;224;744
2022-01;44.2%;0.00260;487;257;744
2022-02;24.5%;0.00140;549;123;672
2022-03;25.8%;0.00320;375;369;744
2022-04;49.0%;0.00080;622;98;720
2022-05;27.8%;0.00400;370;374;744
2022-06;87.9%;0.00099;637;83;720
2022-07;47.7%;0.00370;419;325;744
2022-08;42.6%;0.00199;509;235;744
2022-09;31.1%;0.00310;387;333;720
2022-10;16.0%;0.00250;186;270;456
