Month;Profit;Perc;Succ;Loss;Ttl
2021-03;71.8%;0.00290;547;196;743
2021-04;100.2%;0.00290;469;246;715
2021-05;59.4%;0.00290;575;169;744
2021-06;74.6%;0.00290;552;168;720
2021-07;37.4%;0.00290;482;262;744
2021-08;112.7%;0.00290;498;242;740
2021-09;44.0%;0.00290;442;276;718
2021-10;2.2%;0.00290;439;305;744
2021-11;14.1%;0.00290;423;297;720
2021-12;23.2%;0.00290;454;290;744
2022-01;28.6%;0.00290;454;290;744
2022-02;-2.8%;0.00290;405;267;672
2022-03;14.4%;0.00290;401;343;744
2022-04;10.6%;0.00290;342;378;720
2022-05;3.6%;0.00290;445;299;744
2022-06;52.5%;0.00290;464;256;720
2022-07;11.5%;0.00290;463;281;744
2022-08;16.9%;0.00290;372;372;744
2022-09;24.7%;0.00290;402;318;720
2022-10;11.9%;0.00290;155;301;456
