Month;Profit;Perc;Succ;Loss;Ttl
2021-03;80.8%;0.00222;103825;17284;121109
2021-04;105.4%;0.00356;163650;48705;212355
2021-05;218.4%;0.00477;252028;58964;310992
2021-06;162.2%;0.00322;163824;25536;189360
2021-07;86.2%;0.00131;48091;5477;53568
2021-08;89.1%;0.00144;55590;7310;62900
2021-09;57.5%;0.00092;21851;1843;23694
2021-10;167.6%;0.00169;71695;10145;81840
2021-11;58.8%;0.00274;119511;35289;154800
2021-12;56.9%;0.00507;220725;112587;333312
2022-01;53.7%;0.00317;143841;48111;191952
2022-02;48.5%;0.00132;43719;5337;49056
2022-03;35.5%;0.00063;2765;211;2976
2022-04;34.6%;0.00870;207752;376168;583920
2022-05;47.9%;0.00301;132909;47139;180048
2022-06;18.4%;0.00993;322681;349799;672480
2022-07;18.5%;0.00309;141834;44166;186000
2022-08;31.5%;0.00408;156570;103086;259656
2022-09;31.6%;0.00306;128573;49267;177840
2022-10;12.2%;0.00062;1182;186;1368
