Month;Profit;Perc;Succ;Loss;Ttl
2021-03;54.3%;0.00319;506;237;743
2021-04;85.4%;0.00319;450;265;715
2021-05;122.7%;0.00319;586;158;744
2021-06;156.3%;0.00319;553;167;720
2021-07;37.5%;0.00319;445;299;744
2021-08;54.7%;0.00319;440;300;740
2021-09;32.2%;0.00319;425;293;718
2021-10;110.3%;0.00319;441;303;744
2021-11;50.3%;0.00319;418;302;720
2021-12;33.3%;0.00319;451;293;744
2022-01;51.0%;0.00319;435;309;744
2022-02;4.6%;0.00319;377;295;672
2022-03;-4.2%;0.00319;361;383;744
2022-04;4.9%;0.00319;309;411;720
2022-05;46.0%;0.00319;414;330;744
2022-06;-12.4%;0.00319;450;270;720
2022-07;9.6%;0.00319;446;298;744
2022-08;13.3%;0.00319;350;394;744
2022-09;28.1%;0.00319;382;338;720
2022-10;1.2%;0.00319;139;317;456
