PAIR;15m;%;1d;%;1h;%;1m;%;2h;%;30m;%;3m;%;5m;%
ADAUSDT;118.5;0.00563;178.3;0.00523;185.6;0.00512;317.3;0.00693;168.0;0.00344;32.3;0.00601;21.5;0.00695;7.3;0.00649
AVAXUSDT;8.6;0.00650;299.4;0.00666;223.9;0.00631;66.4;0.00700;195.5;0.00599;1.7;0.00677;0.7;0.00684;0.4;0.00679
BNBUSDT;114.2;0.00381;167.2;0.00700;281.1;0.00331;4.8;0.00476;123.7;0.00167;40.3;0.00334;15.2;0.00622;12.1;0.00700
BTCUSDT;1192.8;0.00172;131.0;0.00321;1316.0;0.00290;113.1;0.00423;464.9;0.00220;403.1;0.00224;55.1;0.00521;70.4;0.00334
DOGEUSDT;283.8;0.00403;121.8;0.00299;880.4;0.00328;100.7;0.00587;630.7;0.00463;36.5;0.00352;1.0;0.00686;14.4;0.00625
ETHUSDT;648.6;0.00298;109.3;0.00521;807.7;0.00316;254.1;0.00660;318.2;0.00167;173.0;0.00312;92.2;0.00684;63.9;0.00581
FILUSDT;51.3;0.00330;75.8;0.00040;256.8;0.00452;65373.5;0.00156;288.0;0.00445;70.4;0.00331;61.6;0.00156;4.8;0.00154
NEARUSDT;1.3;0.00642;130.3;0.00593;150.4;0.00657;0.8;0.00693;78.7;0.00698;0.3;0.00576;0.0;0.00699;0.0;0.00696
SOLUSDT;319.4;0.00586;173.2;0.00692;601.0;0.00427;347.2;0.00674;335.1;0.00192;48.7;0.00591;10.1;0.00700;9.0;0.00700
UNFIUSDT;0.4;0.00694;111.3;0.00700;119.1;0.00700;9.8;0.00697;41.5;0.00634;1.8;0.00692;0.2;0.00700;0.1;0.00697
XRPUSDT;361.7;0.00676;130.0;0.00678;837.9;0.00629;82.4;0.00678;444.7;0.00678;180.2;0.00676;10.3;0.00691;22.6;0.00700
ZECUSDT;11.2;0.00700;166.0;0.00554;809.7;0.00623;289.1;0.00700;499.1;0.00615;9.0;0.00623;0.7;0.00700;4.5;0.00699
